砦			隣接同盟								隣接君主								★								
砦	★	制圧	北西	北	北東	南西	南	南東	西	東	北西	北	北東	南西	南	南東	西	東	北西	北	北東	南西	南	南東	西	東	
北東砦336(392,572)	4	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	くりにゃ	くりにゃ	DAVIDS☆	宗々	綸子	くりにゃ	くりにゃ	ふぁるこん	2	1	2	0	1	5	1	1
北東砦335(396,527)	1	★ゴン太王国★	★ゴン太王国★		★ゴン太王国★			★ゴン太王国★	★ゴン太王国★		スケーゲル		ヒロ51			スケーゲル	スケーゲル		5	3	1	2	3	6	5	3
北東砦334(399,486)	2	替天行道総本部	えれきてる	えれきてる	FOXHOUDN	えれきてる	えれきてる		えれきてる	替天行道総本部	１４	１４	白馬	１４	１４		１４	☢竜田揚げ	2	5	3	2	2	3	6	0
北東砦333(392,443)	1	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	えむも～	ピタオ	ピタオ	えむも～	えむも～	ばびぶべいびー	えむも～	セヴンス	4	3	1	3	6	1	2	2
北東砦332(399,396)	3	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	DJLuna-C	DJLuna-C	DJLuna-C	DJLuna-C	DJLuna-C	DJLuna-C	DJLuna-C	DJLuna-C	3	4	2	1	4	2	1	2
北東砦331(394,352)	2	替天行道総本部		替天行道総本部			替天行道総本部		替天行道総本部			ドラゴン			しらたま侍		ドラゴン		1	2	4	2	1	3	3	6
北東砦330(400,311)	3	-			替天行道総本部								しらたま侍						4	5	1	1	3	5	3	2
北東砦329(396,260)	1	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	Gratthe	Gratthe	ドラゴン	Gratthe	Gratthe	Gratthe	Gratthe	Gratthe	3	1	1	2	6	3	2	4
北東砦328(397,223)	5	-	替天行道総本部	替天行道総本部	替天行道総本部					替天行道総本部	諸葛玄	諸葛玄	諸葛玄					諸葛玄	3	3	0	4	4	2	1	2
北東砦327(394,176)	2	-																	7	3	2	1	3	3	4	1
北東砦326(394,136)	3	-																	1	2	2	3	3	2	6	2
北東砦325(400,91)	3	-																	6	2	1	2	5	6	3	3
北東砦324(394,40)	5	-																	1	3	3	1	3	3	2	3
北東砦650(399,4)	1	-					それいけヨシヒコ								beck				3	2	4	1	3	2	2	2
南東砦330(400,-42)	1	-								それいけヨシヒコ								くぅ(｡･3･｡)	2	4	1	4	2	3	1	3
南東砦331(395,-88)	5	-	それいけヨシヒコ								テンＣｏ								0	2	2	2	1	1	3	5
南東砦332(398,-131)	2	-			それいけヨシヒコ					それいけヨシヒコ			ユリ♪					ユリ♪	6	5	2	4	3	5	1	0
南東砦333(396,-175)	1	-																	1	4	2	3	1	4	3	1
南東砦334(394,-217)	1	-																	2	1	6	1	3	5	1	6
南東砦335(400,-267)	1	-		それいけヨシヒコ					それいけヨシヒコ			74					74		1	1	4	5	5	3	0	1
南東砦336(397,-312)	5	-	それいけヨシヒコ								mogu@								2	3	5	6	2	1	7	3
南東砦337(399,-348)	4	-								それいけヨシヒコ								ミサト	5	3	7	4	1	5	6	0
南東砦338(395,-398)	1	それいけヨシヒコ	それいけヨシヒコ		それいけヨシヒコ						とものり		♥coco♥						2	2	1	2	3	3	6	5
南東砦339(397,-441)	2	-		助力＠祈祷所	助力＠祈祷所	助力＠祈祷所	助力＠祈祷所	助力＠祈祷所	助力＠祈祷所	助力＠祈祷所		ずり	ずり	もんぺ	ずり	ずり	もんぺ	ずり	7	4	3	1	2	6	1	4
南東砦340(399,-480)	5	-			それいけヨシヒコ								けね						4	4	6	2	3	4	3	3
南東砦341(398,-530)	2	それいけヨシヒコ	jack		jack	jack	jack	それいけヨシヒコ	jack		めろんぱん		ueueueoka	makino	makino	あしゅ	めろんぱん		3	1	1	3	2	6	2	2
南東砦342(397,-568)	2	それいけヨシヒコ						それいけヨシヒコ								にこにこ			5	5	2	2	6	2	2	2
南東砦343(400,-617)	4	-							それいけヨシヒコ								たかな		1	5	6	3	3	2	1	3
南東砦344(392,-660)	1	それいけヨシヒコ				それいけヨシヒコ			それいけヨシヒコ					すずきさん			すずきさん		2	3	6	1	4	3	1	2
南東砦345(395,-708)	1	-																	5	3	3	1	4	1	4	3
南東砦346(393,-746)	1	-																	1	2	1	1	2	2	1	2
北東砦323(372,771)	2	-		鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟			鴨葱R-18同盟			ぽこ助	すず音	すず音			ぽこ助		4	1	2	2	5	5	4	2
北東砦322(373,726)	3	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	晴虹	晴虹	晴虹	晴虹	晴虹	晴虹	晴虹	晴虹	2	2	2	3	2	2	2	1
北東砦321(372,683)	4	-																	4	3	5	1	2	5	5	1
北東砦320(372,641)	1	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	太羅威歩	太羅威歩	太羅威歩	太羅威歩	ジャイロボール	怒武	江東の二喬	太羅威歩	5	5	4	3	1	1	4	3
北東砦319(372,590)	3	替天行道総本部			替天行道総本部	替天行道総本部		替天行道総本部					vostro	vostro		ゆういち			6	4	6	6	5	2	2	1
北東砦318(377,553)	1	替天行道総本部	替天行道総本部								vostro								4	3	2	3	1	1	3	1
北東砦317(370,510)	2	-	武威参同盟	武威参同盟	武威参同盟	武威参同盟	武威参同盟	武威参同盟	武威参同盟	武威参同盟	ぱそ太	ぱそ太	ぱそ太	ぱそ太	ぱそ太	ぱそ太	ぱそ太	ぱそ太	3	6	4	4	2	2	2	6
北東砦316(373,460)	1	替天行道総本部					替天行道総本部		替天行道総本部						ばびぶべいびー		綸子		2	5	3	6	5	5	1	3
北東砦315(377,420)	2	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	イマ	イマ	イマ	イマ	イマ	旅人Ｍ	イマ	イマ	2	5	2	4	5	2	4	1
北東砦314(377,370)	1	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	DJLuna-C	DJLuna-C	DJLuna-C	DJLuna-C	DJLuna-C	DJLuna-C	DJLuna-C	DJLuna-C	4	2	1	3	9	3	1	2
北東砦313(373,332)	2	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	Gratthe	Gratthe	Gratthe	Gratthe	Gratthe	Gratthe	Gratthe	sky	1	2	2	3	2	6	1	4
北東砦312(374,284)	2	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	Gratthe	Gratthe	Gratthe	Gratthe	Gratthe	Gratthe	Gratthe	Gratthe	3	3	5	2	1	2	5	3
北東砦311(373,245)	2	-			替天行道総本部								エカテリーナ						3	6	2	2	4	1	2	3
北東砦310(375,201)	5	-																	2	2	4	3	4	3	1	4
北東砦309(371,151)	5	-																	5	2	4	6	3	5	4	2
北東砦308(373,111)	1	-						鴨葱R-18同盟								将介			5	1	5	4	4	2	3	6
北東砦307(374,69)	1	-																	2	5	7	2	2	2	4	3
北東砦306(378,24)	2	-			それいけヨシヒコ		それいけヨシヒコ			それいけヨシヒコ			ぼへみあん狸		ぼへみあん狸			ぼへみあん狸	5	2	2	7	2	2	2	2
南東砦312(372,-26)	1	-				それいけヨシヒコ				それいけヨシヒコ				きるひ				くぅ(｡･3･｡)	2	5	5	1	3	6	3	3
南東砦313(371,-62)	3	-					それいけヨシヒコ			それいけヨシヒコ					ネクベト			ネクベト	3	1	3	2	2	3	2	2
南東砦314(370,-106)	4	-																	2	2	3	5	5	3	1	2
南東砦315(377,-155)	5	-																	5	1	1	5	1	1	2	2
南東砦316(370,-202)	3	-																	4	3	3	3	5	2	4	4
南東砦317(378,-239)	1	-																	1	3	2	3	1	2	4	4
南東砦318(372,-283)	3	-							それいけヨシヒコ								74		2	4	1	6	4	3	2	2
南東砦319(377,-328)	1	それいけヨシヒコ							それいけヨシヒコ								mogu@		5	5	1	5	1	5	3	1
南東砦320(377,-372)	1	それいけヨシヒコ					それいけヨシヒコ								ミサト				1	3	5	7	1	3	6	7
南東砦321(370,-421)	1	それいけヨシヒコ		それいけヨシヒコ								とものり							1	2	6	3	6	2	3	1
南東砦322(375,-461)	1	-																	7	3	3	3	4	4	4	4
南東砦323(374,-506)	3	それいけヨシヒコ				それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ				華雄様	華雄様	ファーレンハイト提督	華雄様	華雄様	5	3	3	7	0	2	7	3
南東砦324(376,-553)	2	それいけヨシヒコ																	1	5	2	5	2	1	3	3
南東砦325(377,-597)	2	それいけヨシヒコ								それいけヨシヒコ								たかな	6	3	3	2	6	4	4	2
南東砦326(372,-636)	5	-	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	すずきさん	すずきさん	すずきさん	がっはっは	すずきさん	すずきさん	すずきさん	すずきさん	3	7	6	1	1	5	2	3
南東砦327(377,-683)	1	-																	2	1	1	6	2	2	3	4
南東砦328(371,-725)	4	-							それいけヨシヒコ								あまてらす		1	2	4	2	4	2	1	4
南東砦329(376,-766)	2	-																	3	2	1	4	3	2	1	4
北東砦305(356,744)	3	-	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	Lexus	すず音	Lexus	すず音	ぽこ助	redeyes	Lexus	ぽこ助	3	2	1	2	8	2	1	2
北東砦304(354,701)	2	替天行道総本部							替天行道総本部								晴虹		2	2	2	5	7	3	1	5
北東砦303(353,664)	1	-	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	ナゴドノ主	ナゴドノ主	ナゴドノ主	ナゴドノ主	ナゴドノ主	ナゴドノ主	ナゴドノ主	ナゴドノ主	6	5	5	4	3	2	2	8
北東砦302(350,619)	5	-	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	ヒデカナックス	ヒデカナックス	ヒデカナックス	エルシード	怒武	ヒデカナックス	ヒデカナックス	怒武	5	1	1	1	3	4	5	1
北東砦301(350,570)	1	替天行道総本部		白米	私立白皇学院					白米		さかもっ茶ん	葉羽孔明					さかもっ茶ん	5	5	4	2	2	1	2	3
北東砦300(356,525)	1	鴨葱R-18同盟		鴨葱R-18同盟								広開土王							3	4	2	6	6	3	5	1
北東砦299(350,483)	3	-	黄金旅団〜クエクリ〜	黄金旅団〜クエクリ〜	黄金旅団〜クエクリ〜	黄金旅団〜クエクリ〜	黄金旅団〜クエクリ〜	黄金旅団〜クエクリ〜	黄金旅団〜クエクリ〜	黄金旅団〜クエクリ〜	しゅみ	粗大ゴミ	粗大ゴミ	次元	兄	兄	兄	粗大ゴミ	4	2	3	2	5	3	3	5
北東砦298(355,438)	2	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	セヴンス	ゆういち	セヴンス	セヴンス	セヴンス	セヴンス	セヴンス	えむも～	4	1	4	3	1	7	3	4
北東砦297(354,395)	1	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	旅人Ｍ	旅人Ｍ	旅人Ｍ	旅人Ｍ	ふぁみれす	智屋	旅人Ｍ	旅人Ｍ	1	5	2	2	1	2	3	4
北東砦296(351,356)	4	-	替天行道総本部	替天行道総本部		替天行道総本部	替天行道総本部		替天行道総本部	替天行道総本部	ちょっぱー。	ちょっぱー。		ちょっぱー。	ちょっぱー。		ちょっぱー。	ちょっぱー。	5	3	1	3	4	2	4	3
北東砦295(351,305)	1	-			替天行道総本部								sky						2	4	1	1	2	3	4	5
北東砦294(349,262)	2	-																	3	3	3	3	5	5	3	4
北東砦293(356,220)	2	-																	2	2	3	4	2	2	5	3
北東砦292(349,180)	4	-																	3	5	8	6	3	5	2	2
北東砦291(355,129)	1	-																	2	3	1	1	3	4	2	4
北東砦290(352,85)	4	-																	1	3	1	3	2	1	2	3
北東砦289(349,47)	5	-	それいけヨシヒコ								稟								2	6	5	2	6	4	4	5
北東砦649(354,0)	1	-							それいけヨシヒコ	それいけヨシヒコ							ぼへみあん狸	くぅ(｡･3･｡)	5	3	2	6	5	6	1	2
南東砦295(351,-41)	2	-					それいけヨシヒコ			それいけヨシヒコ					きるひ			きるひ	2	4	3	4	0	3	5	1
南東砦296(349,-85)	4	-								それいけヨシヒコ								ネクベト	1	4	3	6	2	1	2	3
南東砦297(356,-136)	3	-																	1	7	4	8	2	3	1	4
南東砦298(349,-179)	3	-																	2	2	3	2	2	3	4	3
南東砦299(353,-217)	3	-				それいけヨシヒコ								ヴァイキング					3	2	5	0	1	2	5	1
南東砦300(355,-265)	2	-		それいけヨシヒコ	それいけヨシヒコ				それいけヨシヒコ			はっぱ	はっぱ				はっぱ		3	0	1	5	4	2	2	3
南東砦301(352,-307)	2	-					それいけヨシヒコ	それいけヨシヒコ							74	74			4	5	2	4	1	2	1	5
南東砦302(348,-353)	1	-								それいけヨシヒコ								mogu@	4	4	1	3	1	2	1	1
南東砦303(351,-395)	1	-	それいけヨシヒコ								えりおら								3	3	6	4	4	1	6	4
南東砦304(351,-437)	5	-							それいけヨシヒコ								とものり		2	1	1	5	2	4	2	4
南東砦305(354,-480)	2	-	りさ園	りさ園	りさ園	りさ園	りさ園	りさ園	りさ園	りさ園	なおすけ	なおすけ	なおすけ	ジョー	なおすけ	ジョー	なおすけ	なおすけ	6	4	2	1	3	1	2	3
南東砦306(352,-526)	1	それいけヨシヒコ			それいけヨシヒコ		朱雀	朱雀					ごみ		IM	IM			1	4	1	3	1	4	2	4
南東砦307(353,-568)	4	-					それいけヨシヒコ			それいけヨシヒコ					たかな			えち	5	5	5	1	5	6	3	2
南東砦308(353,-613)	1	それいけヨシヒコ							それいけヨシヒコ								がっはっは		4	2	3	4	1	5	1	2
南東砦309(353,-660)	5	-				それいけヨシヒコ			それいけヨシヒコ					あまてらす			あまてらす		3	5	1	3	2	2	2	4
南東砦310(348,-707)	2	-		それいけヨシヒコ	それいけヨシヒコ							獅子狗	あまてらす						4	2	1	1	3	3	2	4
南東砦311(354,-751)	1	-	それいけヨシヒコ								ユミ								2	5	2	1	6	4	3	1
北東砦288(332,773)	3	-	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	☆はる☆	☆はる☆	☆はる☆	☆はる☆	☆はる☆	☆はる☆	☆はる☆	☆はる☆	6	1	4	3	3	5	1	2
北東砦287(333,727)	2	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	ピカチュ２	ピカチュ２	ピカチュ２	ピカチュ２	ピカチュ２	ピカチュ２	ピカチュ２	ピカチュ２	2	1	4	4	4	4	3	6
北東砦286(326,680)	1	替天行道総本部																	2	6	2	3	5	1	3	3
北東砦285(328,634)	2	替天行道総本部				替天行道総本部								kuri					1	3	3	1	1	2	2	2
北東砦284(327,594)	2	替天行道総本部					FOXHOUDN		替天行道総本部						ポチョ		ばぶ～ちゃん		3	4	3	5	6	3	4	2
北東砦283(332,547)	1	替天行道総本部		替天行道総本部	えれきてる							takky	msk						1	7	4	2	6	3	2	1
北東砦282(326,503)	3	-	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	ゆうき	宇影	ゆうき	緋龍	ゆうき	ゆうき	ゆうき	宇影	2	2	2	3	3	3	3	5
北東砦281(330,458)	4	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	CRONO	CRONO	CRONO	CRONO	セヴンス	ロング	CRONO	CRONO	5	1	7	2	3	1	3	4
北東砦280(328,419)	2	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	プーギー	プーギー	プーギー	プーギー	ゆういち	プーギー	プーギー	プーギー	3	6	2	3	2	5	1	5
北東砦279(333,377)	4	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	ジーク麻呂	ジーク麻呂	ジーク麻呂	takky	ジーク麻呂	のぞりお	ジーク麻呂	ジーク麻呂	3	5	2	1	3	2	3	3
北東砦278(327,328)	4	-																	4	2	3	2	3	1	2	3
北東砦277(329,285)	1	-			替天行道総本部			替天行道総本部					sky			sky			4	5	0	5	1	2	3	3
北東砦276(327,242)	1	-																	5	1	3	2	3	7	5	4
北東砦275(331,202)	3	-																	6	1	5	1	2	1	2	3
北東砦274(330,158)	1	-																	4	1	2	6	2	1	3	4
北東砦273(328,107)	3	-																	3	1	1	2	1	4	2	5
北東砦272(328,70)	4	-																	3	5	2	3	5	2	6	4
北東砦271(334,26)	2	-						それいけヨシヒコ								くぅ(｡･3･｡)			3	1	6	3	4	3	1	3
南東砦277(334,-25)	4	-								それいけヨシヒコ								ごるび～	2	2	4	4	1	2	2	2
南東砦278(330,-64)	2	-			それいけヨシヒコ								きるひ						2	1	2	3	2	2	1	5
南東砦279(329,-112)	3	-																	1	2	7	6	2	5	2	5
南東砦280(334,-153)	3	-																	7	3	2	2	6	6	1	1
南東砦281(334,-202)	1	-		それいけヨシヒコ			それいけヨシヒコ			それいけヨシヒコ		THIARIN♪			THIARIN♪			THIARIN♪	1	2	5	3	1	1	3	3
南東砦282(329,-245)	1	-				それいけヨシヒコ								ヴァイキング					2	1	4	3	5	7	5	4
南東砦283(328,-283)	2	-					それいけヨシヒコ		それいけヨシヒコ	それいけヨシヒコ					はっぱ		暇人７７	はっぱ	3	4	5	3	1	2	1	0
南東砦284(326,-331)	2	-	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	ころころ	ころころ	ころころ	ころころ	ころころ	グアルディオラ	ころころ	ころころ	2	1	4	4	6	2	2	3
南東砦285(331,-372)	5	-			それいけヨシヒコ								にこにこ						2	5	1	4	7	1	4	2
南東砦286(329,-415)	2	-			それいけヨシヒコ								えりおら						2	3	3	5	5	5	6	2
南東砦287(326,-459)	1	-					それいけヨシヒコ								とものり				2	3	1	2	1	5	2	1
南東砦288(334,-508)	4	-																	5	1	6	2	4	4	3	2
南東砦289(328,-554)	1	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	スイミー	スイミー	スイミー	スイミー	スイミー	スイミー	スイミー	スイミー	4	5	4	5	5	5	4	4
南東砦290(330,-593)	2	それいけヨシヒコ			jack	それいけヨシヒコ	jack	jack					やぽちん	がっはっは	やぽちん	やぽちん			8	4	6	1	6	5	4	7
南東砦291(331,-642)	3	それいけヨシヒコ		それいけヨシヒコ	それいけヨシヒコ			それいけヨシヒコ				あまてらす	あまてらす			あまてらす			2	2	1	2	3	2	9	4
南東砦292(330,-680)	4	-							それいけヨシヒコ								あまてらす		2	1	3	3	4	4	2	1
南東砦293(329,-729)	2	-						それいけヨシヒコ								あしゅ			2	5	5	2	2	2	5	3
南東砦294(330,-771)	5	-	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	それいけヨシヒコ	ころころ	ころころ	ころころ	ころころ	ころころ	ころころ	HighRoad	ころころ	2	6	4	2	4	1	1	2
北東砦270(308,752)	1	-	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	べえ	redeyes	すず音	べえ	べえ	べえ	すず音	べえ	3	7	0	1	4	1	1	2
北東砦269(305,702)	1	替天行道総本部		替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部		ピタオ	ピタオ	ピタオ	ピタオ	ピタオ	ピタオ	ピカチュ２	3	5	2	2	2	1	1	1
北東砦268(307,660)	1	替天行道総本部																	2	6	3	3	2	5	3	1
北東砦267(312,620)	2	替天行道総本部						替天行道総本部								ばぶ～ちゃん			4	1	2	3	1	2	3	4
北東砦266(312,568)	2	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	美狼	ゆういち	sakon	sakon	美狼	sakon	美狼	sakon	2	1	4	4	2	3	3	5
北東砦265(304,531)	5	-	白米	白米	白米	白米	白米	白米	白米	白米	三名	三名	4126	4126	三名	4126	4126	三名	2	1	4	4	1	4	3	2
北東砦264(305,488)	5	-	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	大和田常務	大和田常務	若虎	若虎	大和田常務	大和田常務	宇影	大和田常務	3	3	3	1	4	2	3	4
北東砦263(310,443)	3	-		替天行道総本部								佐々木監督							3	3	4	3	2	4	3	4
北東砦262(312,398)	3	-																	6	3	1	2	4	3	3	3
北東砦261(304,353)	3	-						替天行道総本部		替天行道総本部						しらたま侍		帝舜	4	1	3	2	3	1	6	1
北東砦260(306,312)	4	-	替天行道総本部			替天行道総本部					DJLuna-C			du					0	6	5	2	4	3	3	3
北東砦259(304,263)	1	-						替天行道総本部								sky			2	5	2	1	6	2	4	3
北東砦258(311,219)	3	-																	2	4	3	3	2	3	3	3
北東砦257(309,175)	3	-																	1	2	2	4	2	2	5	3
北東砦256(312,131)	1	-																	1	5	2	4	3	3	3	4
北東砦255(310,90)	2	-																	3	1	1	1	2	1	2	4
北東砦254(308,44)	3	-	それいけヨシヒコ				それいけヨシヒコ				ごるび～				くぅ(｡･3･｡)				2	3	4	3	3	2	8	5
北東砦648(308,3)	1	-																	4	4	3	6	5	1	3	5
南東砦260(311,-40)	5	-			それいけヨシヒコ								ごるび～						2	4	3	1	1	6	5	3
南東砦261(306,-92)	3	-				それいけヨシヒコ								とものり					1	1	4	3	4	9	3	4
南東砦262(304,-135)	1	-																	3	3	1	3	3	1	1	1
南東砦263(312,-176)	1	-	それいけヨシヒコ								PORI								0	3	4	4	5	5	3	1
南東砦264(306,-224)	5	-							それいけヨシヒコ								THIARIN♪		5	5	2	5	4	4	3	3
南東砦265(304,-261)	2	-							それいけヨシヒコ								ヴァイキング		3	5	1	5	8	5	2	5
南東砦266(305,-305)	2	-					それいけヨシヒコ								じみー				1	5	1	2	0	3	6	3
南東砦267(306,-355)	2	-	それいけヨシヒコ	それいけヨシヒコ					それいけヨシヒコ	それいけヨシヒコ	☆栗★	☆栗★					☆栗★	☆栗★	2	1	3	4	2	4	1	2
南東砦268(309,-394)	5	-					それいけヨシヒコ			それいけヨシヒコ					にこにこ			にこにこ	4	5	2	2	2	2	5	0
南東砦269(308,-442)	5	-								それいけヨシヒコ								えりおら	4	1	4	3	4	2	7	3
南東砦270(307,-485)	1	それいけヨシヒコ		それいけヨシヒコ								とものり							2	2	3	4	4	7	5	4
南東砦271(307,-526)	3	-	りさ園	りさ園	りさ園	りさ園	りさ園	りさ園	りさ園	りさ園	以蔵	以蔵	ジョー	なおすけ	＊りさ＊	ジョー	ジョー	＊りさ＊	3	2	1	5	1	2	2	2
南東砦272(304,-569)	3	-	朱雀	朱雀	朱雀	朱雀	朱雀	朱雀	朱雀	朱雀	ボリノークサマーン	ボリノークサマーン	十刃	弾丸	ボリノークサマーン	十刃	弾丸	十刃	3	2	3	1	4	2	1	3
南東砦273(308,-612)	2	それいけヨシヒコ		朱雀		それいけヨシヒコ						ボリノークサマーン		D様					4	2	3	1	3	3	4	4
南東砦274(310,-658)	5	-		それいけヨシヒコ			それいけヨシヒコ			それいけヨシヒコ		ももんがぁ～			あまてらす			ももんがぁ～	5	7	2	4	3	2	3	1
南東砦275(307,-701)	2	-	それいけヨシヒコ								あしゅ								2	3	2	3	1	3	2	3
南東砦276(307,-748)	4	-		それいけヨシヒコ								破戒僧							4	2	3	3	1	3	4	2
北東砦253(282,766)	2	-	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	すず音	都莉我武	都莉我武	都莉我武	redeyes	すず音	都莉我武	すず音	4	4	3	6	5	1	1	2
北東砦252(283,724)	1	-						替天行道総本部								晴虹			2	1	2	6	1	1	2	2
北東砦251(290,686)	2	替天行道総本部					替天行道総本部	替天行道総本部							晴虹	ピタオ			2	3	1	4	1	1	3	2
北東砦250(285,635)	3	替天行道総本部	替天行道総本部	替天行道総本部		替天行道総本部			替天行道総本部		宗々	宗々		ピカチュ２			宗々		2	5	3	3	2	3	4	2
北東砦249(287,598)	2	大家族	白米						大家族		かわうそ						フル		5	4	3	2	3	1	3	2
北東砦248(284,546)	3	-	大阪北摂連合【17】	大阪北摂連合【17】	大阪北摂連合【17】	大阪北摂連合【17】	大阪北摂連合【17】	大阪北摂連合【17】	大阪北摂連合【17】	大阪北摂連合【17】	五国	五国	五国	五国	五国	五国	五国	五国	1	4	2	3	3	1	5	3
北東砦247(283,510)	3	-	万連×蒼風×KJT龍	万連×蒼風×KJT龍	万連×蒼風×KJT龍	万連×蒼風×KJT龍	万連×蒼風×KJT龍	万連×蒼風×KJT龍	万連×蒼風×KJT龍	万連×蒼風×KJT龍	勝盛	勝盛	ももあき	ももあき	ももあき	空雷	バブキチ	ももあき	3	1	4	4	6	2	1	5
北東砦246(286,463)	5	-	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	鴨葱R-18同盟	宇影	大和田常務	ぽとふ	宇影	ぽとふ	ぽとふ	宇影	大和田常務	4	1	1	4	2	2	5	3
北東砦245(288,417)	3	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	脇役商会	carlton	carlton	carlton	carlton	carlton	carlton	carlton	1	0	7	3	1	3	2	2
北東砦244(283,371)	4	-																	1	2	2	6	2	4	4	2
北東砦243(290,327)	3	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	帝舜	帝舜	ナイトレイ	帝舜	帝舜	帝舜	帝舜	ジーク麻呂	4	2	2	0	7	4	3	4
